                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.3997,                0.90576,                  1.203,                0.66723,                0.60778,                0.61955,                0.37423,                 1.4298,                0.90999,                 1.1642,              0.0096832,              0.0096832,              0.0096832
                     66,                 1.4126,                0.92103,                 1.2097,                0.65797,                0.60922,                0.60626,                 0.3776,                 1.4329,                0.92374,                 1.1668,              0.0096783,              0.0096783,              0.0096783
                     67,                 1.4062,                0.91233,                 1.1989,                  0.672,                0.62819,                0.63752,                 0.3847,                 1.4163,                 0.9116,                 1.1547,              0.0096733,              0.0096733,              0.0096733
                     68,                 1.4084,                0.91309,                 1.2048,                 0.6411,                0.62804,                0.62758,                0.38232,                 1.4077,                0.92043,                 1.1527,              0.0096684,              0.0096684,              0.0096684
                     69,                 1.4041,                0.91147,                 1.1961,                0.65223,                0.61769,                0.62232,                0.37928,                 1.3961,                0.91261,                 1.1484,              0.0096634,              0.0096634,              0.0096634
                     70,                 1.3776,                0.89223,                  1.194,                0.65693,                0.59878,                0.61207,                 0.3819,                 1.3953,                0.91958,                 1.1514,              0.0096585,              0.0096585,              0.0096585
                     71,                 1.3831,                0.89875,                 1.1962,                0.63248,                 0.6298,                 0.6144,                0.38442,                  1.389,                0.89982,                 1.1422,              0.0096535,              0.0096535,              0.0096535
                     72,                 1.3701,                0.88927,                  1.192,                0.67286,                0.61242,                 0.6241,                0.38654,                 1.3931,                 0.9022,                  1.146,              0.0096486,              0.0096486,              0.0096486
                     73,                 1.3862,                0.89879,                 1.1867,                 0.6553,                0.60704,                0.62209,                0.39001,                 1.3901,                0.89539,                  1.147,              0.0096436,              0.0096436,              0.0096436
                     74,                 1.3783,                0.87883,                 1.1804,                0.66283,                 0.5978,                0.62079,                0.38726,                 1.3918,                0.89328,                 1.1491,              0.0096387,              0.0096387,              0.0096387
                     75,                 1.3756,                0.88517,                 1.1825,                0.65142,                0.61372,                0.61662,                0.38768,                  1.384,                0.88532,                 1.1458,              0.0096337,              0.0096337,              0.0096337
                     76,                 1.3631,                0.87248,                 1.1776,                0.66706,                0.60943,                0.62935,                0.38706,                 1.3758,                0.87223,                 1.1379,              0.0096288,              0.0096288,              0.0096288
                     77,                 1.3672,                0.87378,                 1.1758,                0.63877,                0.63191,                 0.6281,                0.38822,                 1.3698,                 0.8766,                 1.1421,              0.0096238,              0.0096238,              0.0096238
                     78,                 1.3599,                0.86584,                 1.1762,                0.64421,                0.62504,                0.62503,                0.38961,                 1.3693,                0.87659,                 1.1415,              0.0096188,              0.0096188,              0.0096188
                     79,                 1.3617,                0.86134,                 1.1758,                0.66921,                0.61207,                0.62513,                0.38947,                 1.3672,                0.87996,                 1.1391,              0.0096139,              0.0096139,              0.0096139
                     80,                 1.3478,                0.86041,                 1.1673,                0.67537,                0.60293,                0.62969,                0.39671,                 1.3682,                0.87376,                 1.1377,               0.009609,               0.009609,               0.009609
                     81,                   1.35,                0.85925,                 1.1715,                0.66785,                0.62804,                0.63483,                0.39804,                 1.3666,                0.87018,                 1.1384,               0.009604,               0.009604,               0.009604
                     82,                 1.3479,                0.85538,                  1.164,                0.67605,                0.61651,                0.63226,                0.39757,                 1.3668,                0.86898,                  1.137,               0.009599,               0.009599,               0.009599
                     83,                 1.3334,                0.84553,                 1.1656,                0.68491,                0.62658,                0.64074,                0.40541,                 1.3681,                0.86453,                 1.1355,              0.0095941,              0.0095941,              0.0095941
                     84,                 1.3411,                 0.8504,                 1.1654,                0.66926,                0.61324,                 0.6326,                0.40551,                 1.3691,                0.86436,                 1.1342,              0.0095892,              0.0095892,              0.0095892
                     85,                 1.3373,                 0.8514,                 1.1681,                0.70072,                0.60042,                0.63197,                0.40471,                 1.3587,                0.86377,                 1.1321,              0.0095842,              0.0095842,              0.0095842
                     86,                 1.3386,                0.85071,                 1.1571,                0.67346,                0.60725,                0.63137,                0.40552,                 1.3556,                0.86666,                 1.1308,              0.0095793,              0.0095793,              0.0095793
                     87,                 1.3336,                0.83816,                 1.1591,                 0.6629,                0.61278,                0.63446,                0.40611,                 1.3466,                0.86156,                   1.13,              0.0095743,              0.0095743,              0.0095743
                     88,                 1.3405,                0.84355,                 1.1558,                0.68528,                0.62466,                0.65518,                0.40607,                 1.3428,                0.85966,                 1.1289,              0.0095694,              0.0095694,              0.0095694
                     89,                 1.3151,                 0.8261,                 1.1512,                0.68725,                0.61251,                0.64391,                0.40593,                 1.3385,                0.85629,                 1.1266,              0.0095644,              0.0095644,              0.0095644
                     90,                 1.3284,                0.83318,                 1.1595,                0.67892,                0.61717,                0.64045,                0.40615,                 1.3382,                0.85762,                 1.1285,              0.0095595,              0.0095595,              0.0095595
                     91,                 1.3264,                0.83377,                 1.1549,                0.68114,                0.61968,                0.64051,                0.40884,                  1.332,                 0.8523,                 1.1269,              0.0095545,              0.0095545,              0.0095545
                     92,                 1.3214,                0.83186,                 1.1573,                0.66647,                0.63513,                0.64043,                0.40812,                 1.3298,                0.84938,                 1.1269,              0.0095496,              0.0095496,              0.0095496
                     93,                 1.3173,                0.82486,                 1.1503,                0.69929,                0.64244,                0.65029,                0.40806,                 1.3252,                0.84751,                 1.1238,              0.0095446,              0.0095446,              0.0095446
